Name of Institution (English),Name of Institution (Chinese),Grade Equivalent to UK 2:1,Grade Equivalent to UK 2:2,Additional Information
Aba Teachers University,阿坝师范学院,85%,80%,
Air Force Early Warning Academy,空军预警学院,70%,65%,
Air Force Engineering University,空军工程大学,70%,65%,
Air Force Medical University (Fourth Military Medical University),空军军医大学（第四军医大学）,70%,65%,
Anhui Agricultural University,安徽农业大学,75%,70%,
Anhui Jianzhu University,安徽建筑大学,75%,70%,
Anhui Medical University,安徽医科大学,75%,70%,
Anhui Normal University,安徽师范大学,75%,70%,
Anhui Polytechnic University,安徽工程大学,75%,70%,
Anhui Science And Technology University,安徽科技学院,80%,75%,
Anhui University,安徽大学,70%,65%,
Anhui University of Arts,安徽艺术学院,85%,80%,
Anhui University of Chinese Medicine,安徽中医药大学,75%,70%,
Anhui University of Finance and Economics,安徽财经大学,75%,70%,
Anhui University of Science and Technology,安徽理工大学,75%,70%,
Anhui University of Technology,安徽工业大学,75%,70%,
Ankang University,安康学院,85%,80%,
Anqing Normal University,安庆师范大学,80%,75%,
Anshan Normal University,鞍山师范学院,80%,75%,
Anshun University,安顺学院,85%,80%,
Anyang Institute of Technology,安阳工学院,80%,75%,
Anyang Normal University,安阳师范学院,80%,75%,
Army Academy of Armored Forces,陆军装甲兵学院,70%,65%,
Army Academy of Border and Coastal Defence,陆军边海防学院,70%,65%,
Army Engineering University of PLA,陆军工程大学,70%,65%,
Army Infantry College,陆军步兵学院,70%,65%,
Army Logistics Academy,陆军勤务学院,70%,65%,
Army Medical University (Third Military Medical University),陆军军医大学（第三军医大学）,70%,65%,
Army Military Transportation University,陆军军事交通学院,70%,65%,
Army Special Operations Academy,陆军特种作战学院,70%,65%,
Aviation University of Air Force,空军航空大学,70%,65%,
Baicheng Normal University,白城师范学院,85%,80%,
Baise University,百色学院,85%,80%,
Baoding University,保定学院,85%,80%,
Baoji University of Arts and Sciences,宝鸡文理学院,80%,75%,
Baoshan University,保山学院,85%,80%,
Baotou Medical College,内蒙古科技大学包头医学院,80%,75%,
Baotou Teachers' College,包头师范学院,80%,75%,
Beibu Gulf University,北部湾大学,80%,75%,
Beihang University,北京航空航天大学,70%,65%,
Beihua University,北华大学,80%,75%,
Beijing Dance Academy,北京舞蹈学院,75%,70%,
Beijing Electronic Science & Technology Institute,北京电子科技学院,75%,70%,
Beijing Film Academy,北京电影学院,70%,65%,
Beijing Foreign Studies University,北京外国语大学,70%,65%,
Beijing Forestry University,北京林业大学,70%,65%,
Beijing Information Science & Technology University,北京信息科技大学,75%,70%,
Beijing Institute of Fashion Technology,北京服装学院,75%,70%,
Beijing Institute of Graphic Communication,北京印刷学院,80%,75%,
Beijing Institute of Petrochemical Technology,北京石油化工学院,75%,70%,
Beijing Institute of Technology,北京理工大学,70%,65%,
"Beijing Institute of Technology, Zhuhai",北京理工大学珠海学院,75%,70%,
Beijing International Studies University,北京第二外国语学院,75%,70%,
Beijing Jiaotong University,北京交通大学,70%,65%,
Beijing Language and Culture University,北京语言大学,75%,70%,
Beijing Normal University,北京师范大学,70%,65%,
Beijing Police College,北京警察学院,80%,75%,
Beijing Sport University,北京体育大学,70%,65%,
Beijing Technology and Business University,北京工商大学,75%,70%,
Beijing Union University,北京联合大学,75%,70%,
Beijing University Of Agriculture,北京农学院,75%,70%,
Beijing University of Chemical Technology,北京化工大学,70%,65%,
Beijing University of Chinese Medicine,北京中医药大学,70%,65%,
Beijing University of Civil Engineering and Architecture,北京建筑大学,75%,70%,
Beijing University of Posts and Telecommunications,北京邮电大学,70%,65%,
Beijing University of Technology,北京工业大学,70%,65%,"Applicants undertaking Collaboration study between Beijing University of Technology and University College Dublin (UCD) will require:
- GPA 3.08 out of 4.2 for a grade equivalent to a 2:1 
- GPA 2.48 out of 4.2 for a grade equivalent to a 2:2 "
Beijing Wuzi University,北京物资学院,75%,70%,
Bengbu Medical University,蚌埠医科大学,75%,70%,
Bengbu University,蚌埠学院,85%,80%,
Binzhou Medical University,滨州医学院,75%,70%,
Bohai University,渤海大学,75%,70%,
Bozhou University,亳州学院,85%,80%,
Cangzhou Normal University,沧州师范学院,85%,80%,
Capital Medical University,首都医科大学,70%,65%,
Capital Normal University,首都师范大学,70%,65%,
Capital University of Economics and Business,首都经济贸易大学,75%,70%,
Capital University of Physical Education And Sports,首都体育学院,75%,70%,
Central Academy of Fine Arts,中央美术学院,70%,65%,
Central China Normal University,华中师范大学,70%,65%,
Central Conservatory of Music,中央音乐学院,70%,65%,
Central South University,中南大学,70%,65%,
Central South University of Forestry and Technology,中南林业科技大学,75%,70%,
Central University of Finance and Economics,中央财经大学,70%,65%,
Chang'an University,长安大学,70%,65%,
Changchun Institute Of Technology,长春工程学院,80%,75%,
Changchun Normal University,长春师范大学,80%,75%,
Changchun University,长春大学,80%,75%,
Changchun University of Chinese Medicine,长春中医药大学,75%,70%,
Changchun University of Science and Technology,长春理工大学,75%,70%,
Changchun University of Technology,长春工业大学,75%,70%,
Changji University,昌吉学院,85%,80%,
Changsha Normal University,长沙师范学院,85%,80%,
Changsha University,长沙学院,80%,75%,
Changsha University of Science and Technology,长沙理工大学,75%,70%,
Changshu Institute of Technology,常熟理工学院,75%,70%,
Changzhi Medical College,长治医学院,80%,75%,
Changzhi University,长治学院,85%,80%,
Changzhou University,常州大学,75%,70%,
Chaohu University,巢湖学院,80%,75%,
Chengde Medical University,承德医学院,80%,75%,
Chengdu Medical College,成都医学院,80%,75%,
Chengdu Normal University,成都师范学院,80%,75%,
Chengdu Sport University,成都体育学院,80%,75%,
Chengdu Technological University,成都工业学院,80%,75%,
Chengdu University,成都大学,75%,70%,
Chengdu University of Information Technology,成都信息工程大学,75%,70%,
Chengdu University of Technology,成都理工大学,70%,65%,
Chengdu University of Traditional Chinese Medicine,成都中医药大学,70%,65%,
Chifeng University,赤峰学院,80%,75%,
China Academy of Art,中国美术学院,70%,65%,
China Agricultural University,中国农业大学,70%,65%,
China Coast Guard Academy,武警海警学院,70%,65%,
China Conservatory of Music,中国音乐学院,70%,65%,
China Foreign Affairs University,外交学院,70%,65%,
China Jiliang University,中国计量大学,75%,70%,
China Medical University,中国医科大学,70%,65%,
China People's Police University,中国人民警察大学,75%,70%,
China Pharmaceutical University,中国药科大学,70%,65%,
China Three Gorges University,三峡大学,75%,70%,
China University of Geosciences (Beijing),中国地质大学（北京）,70%,65%,
China University of Geosciences (Wuhan),中国地质大学（武汉）,70%,65%,
China University of Labor Relations,中国劳动关系学院,75%,70%,
China University of Mining & Technology (Beijing),中国矿业大学（北京）,70%,65%,
China University of Mining and Technology,中国矿业大学,70%,65%,
China University of Petroleum (Beijing),中国石油大学（北京）,70%,65%,
China University of Petroleum (East China),中国石油大学（华东）,70%,65%,
China University of Political Science and Law,中国政法大学,70%,65%,
China West Normal University,西华师范大学,75%,70%,
China Women's University,中华女子学院,80%,75%,
Chizhou University,池州学院,85%,80%,
Chongqing Jiaotong University,重庆交通大学,75%,70%,
Chongqing Medical University,重庆医科大学,70%,65%,
Chongqing Normal University,重庆师范大学,75%,70%,
Chongqing Police College,重庆警察学院,80%,75%,
Chongqing Technology and Business University,重庆工商大学,75%,70%,
Chongqing Three Gorges University,重庆三峡学院,80%,75%,
Chongqing University,重庆大学,70%,65%,
Chongqing University of Arts and Sciences,重庆文理学院,80%,75%,
